,时间间隔,收盘,开盘,最高,最低
2611,14:00 - 14:30,23674.93,23674.93,23674.93,23674.93
2624,14:00 - 14:30,23869.93,23869.93,23869.93,23869.93
2637,14:00 - 14:30,23940.26,23940.26,23940.26,23940.26
2650,14:00 - 14:30,24033.79,24033.79,24033.79,24033.79
2663,14:00 - 14:30,23796.74,23796.74,23796.74,23796.74
2676,14:00 - 14:30,24120.04,24120.04,24120.04,24120.04
2689,14:00 - 14:30,24245.76,24245.76,24245.76,24245.76
2702,14:00 - 14:30,24270.62,24270.62,24270.62,24270.62
2715,14:00 - 14:30,24110.96,24110.96,24110.96,24110.96
2728,14:00 - 14:30,23975.62,23975.62,23975.62,23975.62
2741,14:00 - 14:30,23783.72,23783.72,23783.72,23783.72
2754,14:00 - 14:30,23469.39,23469.39,23469.39,23469.39
2767,14:00 - 14:30,23506.04,23506.04,23506.04,23506.04
2780,14:00 - 14:30,22590.86,22590.86,22590.86,22590.86
2793,14:00 - 14:30,22694.66,22694.66,22694.66,22694.66
2806,14:00 - 14:30,22271.3,22271.3,22271.3,22271.3
2819,14:00 - 14:30,22549.24,22549.24,22549.24,22549.24
2832,14:00 - 14:30,22841.12,22841.12,22841.12,22841.12
2845,14:00 - 14:30,22658.16,22658.16,22658.16,22658.16
2858,14:00 - 14:30,22532.08,22532.08,22532.08,22532.08
2871,14:00 - 14:30,22614.82,22614.82,22614.82,22614.82
2884,14:00 - 14:30,22010.78,22010.78,22010.78,22010.78
2897,14:00 - 14:30,22091.18,22091.18,22091.18,22091.18
2910,14:00 - 14:30,21268.73,21268.73,21268.73,21268.73
2923,14:00 - 14:30,21184.6,21184.6,21184.6,21184.6
2936,14:00 - 14:30,21149.8,21149.8,21149.8,21149.8
2949,14:00 - 14:30,21457.29,21457.29,21457.29,21457.29
2962,14:00 - 14:30,21920.46,21920.46,21920.46,21920.46
2975,14:00 - 14:30,21687.65,21687.65,21687.65,21687.65
2988,14:00 - 14:30,22243.66,22243.66,22243.66,22243.66
3001,14:00 - 14:30,21898.99,21898.99,21898.99,21898.99
3014,14:00 - 14:30,22147.75,22147.75,22147.75,22147.75
3027,14:00 - 14:30,22085.8,22085.8,22085.8,22085.8
3040,14:00 - 14:30,22486.92,22486.92,22486.92,22486.92
3053,14:00 - 14:30,22250.25,22250.25,22250.25,22250.25
3066,14:00 - 14:30,22269.88,22269.88,22269.88,22269.88
3079,14:00 - 14:30,21810.52,21810.52,21810.52,21810.52
3092,14:00 - 14:30,21846.48,21846.48,21846.48,21846.48
3105,14:00 - 14:30,21803.62,21803.62,21803.62,21803.62
3118,14:00 - 14:30,21680.34,21680.34,21680.34,21680.34
3131,14:00 - 14:30,21821.16,21821.16,21821.16,21821.16
3144,14:00 - 14:30,21583.12,21583.12,21583.12,21583.12
3157,14:00 - 14:30,21507.54,21507.54,21507.54,21507.54
3170,14:00 - 14:30,21646.55,21646.55,21646.55,21646.55
3183,14:00 - 14:30,21812.0,21812.0,21812.0,21812.0
3196,14:00 - 14:30,21952.4,21952.4,21952.4,21952.4
3209,14:00 - 14:30,22177.02,22177.02,22177.02,22177.02
